Project ID,Project Type,Samples,Date Received,Date Completed
22-001,Capillary+Cleanup,32,1/5/2022,
22-002,Extra2Seq,26,1/26/2022,02/17/2022
22-003,Capillary+Cleanup,22,1/7/2022,01/26/2022
22-004,Capillary+Cleanup,2,1/27/2022,01/16/2022
22-005,Extract,15,1/7/2022,01/24/2022
22-006,Capillary+Cleanup,4,1/7/2022,
22-007,Extra2Seq,7,1/26/2022,02/17/2022
22-008,Extra2Seq,4,2/17/2022,04/Mar/22
22-009,Extract,62,2/17/2022,22/Mar/22
22-011,Extra2Seq,40,2/17/2022,08/Mar/22
22-012,Capillary+Cleanup,7,2/28/2022,
22-013,Capillary+Cleanup,45,2/28/2022,
22-014,Capillary+Cleanup,21,3/1/2022,
22-017,Capillary+Cleanup,4,3/15/2022,31/Mar/22
22-018,Capillary+Cleanup,15,3/18/2022,
22-019,Capillary+Cleanup,15,3/16/2022,
22-024,Extract2Seq,5,4/4/2022,12/May/22
22-025,Extract2Seq,2,4/18/2022,02/May/22
22-028,Extract2Seq,20,4/8/2022,
22-029,Extract2Seq,15,4/8/2022,
22-031,Extract2Seq,10,4/22/2022,"04/May/22, 26/May/22"
22-036,Extract2Seq,2,5/12/2022,
22-038,Extract2Seq,2,5/16/2022,05/May/26
22-039,Extract2Seq,4,5/18/2022,03/Jun/22
22-040,Extract2Seq,5,5/18/2022,
22-041,Extraction ,4,5/24/2022,24/May/22
22-042,Capillary+Cleanup,269,5/18/2022,30/May/22
22-042,Capillary+Cleanup,2,5/18/2022,
22-044,Capillary+Cleanup,36,5/24/2022,01/Jun/22
22-045,Capillary+Cleanup,10,5/26/2022,01/Jun/22
22-046,Extract2Seq,5,5/26/2022,
22-049,Capillary+Cleanup,82,5/27/2022,02/Jun/22
22-051,Capillary+Cleanup,26,5/27/2022,
22-052,Capillary+Cleanup,13,5/6/2022,
22-053,Extract2Seq,2,6/7/2022,13/Jun/22
22-054,Capillary+Cleanup,2,6/7/2022,09/Jun/22
22-055,Capillary+Cleanup,18,3/25/2022,02/May/22
22-057,Capillary+Cleanup,42,3/4/2022,14/Mar/22
22-058,Capillary+Cleanup,3,3/24/2022,05/Apr/22
22-060,Capillary+Cleanup,16,4/25/2022,05/May/22
22-061,Capillary+Cleanup,150,4/29/2022,18/May/22
22-067,Capillary+Cleanup,30,5/23/2022,23/Jun/22
22-068,Capillary+Cleanup,6,5/16/2022,07/Jun/22
22-070,Capillary+Cleanup,147,5/18/2022,21/Jun/22
22-071,Capillary+Cleanup,100,5/30/2022,21/Jun/22
22-072,Capillary+Cleanup,9,6/6/2022,21/Jun/22
22-073,Capillary+Cleanup,8,6/13/2022,14/Jun/22
22-074,NAextraction,1,6/6/2022,15/June/22
22-075,Capillary,8,6/15/2022,17/Jun/22
22-076,Extract2Seq,2,6/16/2022,1/July/22
22-077,Capillary+Cleanup,25,5/26/2022,20/Jun/22
22-078,Capillary+Cleanup,32,6/13/2022,
22-081,Extract2Seq,10,6/18/2022,05/Jul/22
22-082,Extract2Seq,6,6/21/2022,05/Jul/22
22-083,Extract2Seq,11,6/22/2022,
22-084,Extract2Seq,20,6/22/2022,
22-085,Capillary+Cleanup,24,6/20/2022,
22-086,Extract2Seq,15,6/23/2022,
22-088,Capillary+Cleanup,22,6/24/2022,04/Jul/22
22-083,Extract2Seq,9,6/29/2022,
22-091,Capillary+Cleanup,24,6/26/2022,
22-092,Capillary+Cleanup,110,6/30/2022,
22-093,Extract2Seq,7,7/7/2022,11/Jul/22
22-095,Capppilary sequencing ,60,7/7/2022,
22-097,Extract2Seq,1,7/13/2022,
22-098,Capillary+Cleanup,18,7/13/2022,
22-083,Extract2Seq,20,7/15/2022,
22-103,Extract2Seq,50,7/27/2022,25/Jul/22
22-104,Capillary+Cleanup,5,7/27/2022,
22-105,Extract2Seq,8,7/29/2022,
22-106,Extract2Seq,10,8/1/2022,
22-107,Extraction ,4,8/4/2022,
22-108,Capillary+Cleanup,18,8/4/2022,
22-109,Extract2Seq,30,8/8/2022,
22-110,Extract2Seq,6,9/5/2022,
22-111,Extract2Seq,2,8/9/2022,
22-112,Capillary+Cleanup,3,8/9/2022,
22-113,"PCR, cleanup,Capillay",10,8/8/2022,
22-114,Capillary+Cleanup,23,8/12/2022,
